sku_id,lead_time_days,demand_variability,safety_stock,stockout
1,31,0.321,283.75,1
2,56,0.398,489.48,1
3,51,0.239,229.78,0
4,31,0.18,392.64,1
5,15,0.173,273.74,0
6,4,0.382,305.57,1
7,3,0.196,416.3,1
8,19,0.104,450.89,1
9,32,0.375,321.36,1
10,51,0.414,292.58,1
11,55,0.122,423.39,1
12,5,0.104,401.98,1
13,28,0.285,230.43,0
14,59,0.34,84.78,0
15,45,0.024,417.32,1
16,37,0.309,214.08,0
17,49,0.088,489.04,1
18,9,0.173,127.32,0
19,40,0.33,200.1,0
20,2,0.445,336.72,1
21,35,0.44,196.1,0
22,25,0.127,67.65,0
23,30,0.175,10.31,0
24,33,0.289,487.66,1
25,51,0.125,115.97,0
26,41,0.025,96.41,0
27,18,0.136,201.61,0
28,3,0.22,420.93,1
29,20,0.02,87.13,0
30,57,0.05,202.67,0
31,14,0.186,310.79,1
32,33,0.08,214.07,0
33,40,0.104,102.37,0
34,30,0.235,74.22,0
35,40,0.369,327.25,1
36,47,0.241,295.38,1
37,3,0.068,240.08,0
38,41,0.441,184.72,0
39,41,0.496,340.55,1
40,34,0.478,300.75,1
41,59,0.33,412.64,1
42,34,0.206,391.5,1
43,17,0.42,326.8,1
44,47,0.07,130.89,0
45,14,0.315,110.52,0
46,49,0.203,231.19,0
47,46,0.176,145.91,0
48,2,0.208,118.33,0
49,11,0.193,359.13,1
50,53,0.014,427.63,1
51,58,0.397,479.07,1
52,2,0.153,162.59,0
53,7,0.272,452.83,1
54,29,0.162,227.62,0
55,28,0.37,13.84,0
56,4,0.122,444.17,1
57,47,0.05,130.45,0
58,51,0.192,385.75,1
59,55,0.177,305.95,1
60,15,0.12,65.8,0
61,57,0.158,34.64,0
62,54,0.005,124.5,0
63,53,0.244,308.81,1
64,3,0.446,57.13,0
65,21,0.017,132.2,0
66,34,0.319,123.57,0
67,42,0.306,113.89,0
68,29,0.041,259.6,0
69,54,0.038,369.31,1
70,55,0.228,102.15,0
71,35,0.295,282.11,1
72,25,0.466,117.26,0
73,29,0.478,119.65,0
74,14,0.13,394.19,1
75,27,0.458,378.47,1
