date,marketing_spend,product_development_cost,customers_acquired,revenue,net_promoter_score,support_tickets,churn_rate
2021-01-01,67640.52,36151.45,933,384371.54,54.16,145,8.16
2021-01-31,54001.57,36011.9,678,265478.41,43.81,163,8.31
2021-03-02,59787.38,28063.37,817,329564.14,43.17,202,9.54
2021-04-01,72408.93,28488.49,889,319207.72,27.8,171,10.16
2021-05-01,68675.58,24757.24,843,223967.52,52.55,128,7.29
2021-05-31,40227.22,22899.91,573,235700.19,28.42,164,8.02
2021-06-30,59500.88,21468.65,779,233124.79,31.97,158,7.61
2021-07-30,48486.43,39753.88,687,247091.06,61.82,147,8.25
2021-08-29,48967.81,27451.74,631,227696.29,41.6,127,7.37
2021-09-28,54105.99,27809.63,786,238055.23,64.78,136,6.93
2021-10-28,51440.44,23736.02,737,253531.92,32.35,170,8.64
2021-11-27,64542.74,33887.45,768,274485.78,58.1,146,7.77
2021-12-27,57610.38,21930.51,850,283251.36,43.08,144,6.63
2022-01-26,51216.75,28936.3,806,205334.29,38.8,156,9.03
2022-02-25,54438.63,25522.67,803,260579.33,52.3,119,8.5
2022-03-27,53336.74,31934.51,724,274339.53,51.76,138,8.19
2022-04-26,64940.79,27445.97,795,219894.86,56.71,132,7.51
2022-05-26,47948.42,24096.84,732,227982.44,53.88,154,8.17
2022-06-25,53130.68,29859.09,711,209729.13,73.04,103,7.26
2022-07-25,41459.04,32141.66,675,275087.75,67.05,148,4.61
2022-08-24,24470.1,30332.59,455,159343.83,48.19,181,10.45
2022-09-23,56536.19,31512.36,814,272472.42,50.66,107,8.39
2022-10-23,58644.36,26828.39,804,218248.94,59.37,149,7.12
2022-11-22,42578.35,28186.29,661,223032.64,56.28,157,7.58
2022-12-22,72697.55,26637.7,927,259220.74,54.58,132,8.42
2023-01-21,35456.34,28202.23,643,204557.24,33.58,158,8.99
2023-02-20,50457.59,25934.27,710,202269.18,47.24,150,6.36
2023-03-22,48128.16,21368.59,701,244646.44,35.53,158,11.08
2023-04-21,65327.79,30887.13,947,323115.24,55.23,138,7.82
2023-05-21,64693.59,27991.1,779,234284.71,48.55,117,9.18
2023-06-20,51549.47,21849.01,651,216121.53,52.5,170,7.53
2023-07-20,53781.63,32313.91,786,204205.87,57.03,164,9.5
2023-08-19,41122.14,25463.51,552,132834.47,54.87,128,8.18
2023-09-18,30192.04,30259.73,599,201480.68,47.14,123,8.87
2023-10-18,46520.88,33645.45,644,207655.82,45.75,164,7.49
2023-11-17,51563.49,30644.91,678,234962.52,48.09,140,9.51
